2021-05-30 16:43:58,127 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=881a4728-a372-4953-8be7-404c2b083414
2021-05-30 16:43:58,145 [1] INFO  Photon.Hive.Plugin.PluginManager - Plugin configured: name=MyFirstPlugin
2021-05-30 16:43:58,188 [1] INFO  Photon.Hive.Plugin.PluginManager - Loaded Assembly Name=MyFirstPlugin, Version=1.0.0.0, Culture=, PublicKey token=, Path=C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\Plugins\MyFirstPlugin\\bin\MyFirstPlugin.dll
2021-05-30 16:43:58,188 [1] INFO  Photon.Hive.Plugin.PluginManager - Referenced Assembly Name=mscorlib, Version=4.0.0.0, Culture=, PublicKey token=B7-7A-5C-56-19-34-E0-89, Path=
2021-05-30 16:43:58,188 [1] INFO  Photon.Hive.Plugin.PluginManager - Referenced Assembly Name=PhotonHivePlugin, Version=1.0.15.11060, Culture=, PublicKey token=, Path=
2021-05-30 16:43:58,189 [1] INFO  Photon.Hive.Plugin.PluginManager - Plugin Type MyFirstPlugin.MyPluginFactory from assembly MyFirstPlugin, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null was successfuly created
2021-05-30 16:43:58,189 [1] INFO  Photon.Hive.Plugin.PluginManager - Plugin manager (version=1.0.15.11060) is setup. type=MyFirstPlugin.MyPluginFactory;path=C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\Plugins\MyFirstPlugin\\bin\MyFirstPlugin.dll;version=1.0.15.11060
2021-05-30 16:43:58,379 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2021-05-30 16:43:58,380 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2021-05-30 16:43:58,384 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2021-05-30 16:43:58,392 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2021-05-30 16:43:58,392 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2021-05-30 16:43:58,393 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2021-05-30 16:43:58,393 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2021-05-30 16:43:58,393 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2021-05-30 16:43:58,393 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2021-05-30 16:43:58,394 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2021-05-30 16:43:58,394 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2021-05-30 16:43:58,394 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2021-05-30 16:43:58,394 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2021-05-30 16:43:58,394 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2021-05-30 16:43:58,395 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2021-05-30 16:43:58,395 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2021-05-30 16:43:58,395 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2021-05-30 16:43:58,403 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Could not find file 'C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\Workload.config'.)
2021-05-30 16:43:58,409 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\ServerState.txt
2021-05-30 16:43:58,411 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-05-30 16:43:58,411 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2021-05-30 16:43:58,419 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=881a4728-a372-4953-8be7-404c2b083414
2021-05-30 16:43:58,433 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2021-05-30 16:43:58,437 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2021-05-30 16:43:59,388 [14] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2021-05-30 16:43:59,388 [14] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2021-05-30 16:43:59,391 [14] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 881a4728-a372-4953-8be7-404c2b083414, Hostname localhost, IPv6Address 
2021-05-30 16:43:59,440 [15] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=881a4728-a372-4953-8be7-404c2b083414
2021-05-30 16:47:16,618 [20] INFO  Photon.Hive.Plugin.PluginManager - Plugin successfully created:Type:MyFirstPlugin.MyPluginFactory, path:C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\Plugins\MyFirstPlugin\\bin\MyFirstPlugin.dll
2021-05-30 16:47:16,634 [13] INFO  Photon.Hive.HiveGame.HiveHostGame.Plugin - OnCreateGame 31565472-0053-4ca5-9135-f0f5eb3b0b50 by user 5069beb0-ef8b-49f2-9926-f433f5b3615f
2021-05-30 16:47:42,344 [20] INFO  Photon.Hive.Plugin.PluginManager - Plugin successfully created:Type:MyFirstPlugin.MyPluginFactory, path:C:\Users\SRHD\Desktop\Git\ServerWk2\Photon-OnPremise-Server-Plugin-SDK_v4-0-29-11263\deploy\Plugins\MyFirstPlugin\\bin\MyFirstPlugin.dll
2021-05-30 16:47:42,345 [20] INFO  Photon.Hive.HiveGame.HiveHostGame.Plugin - OnCreateGame 7e8870fc-93a0-4b35-99d4-6b53eff1749d by user a29ca6c3-9771-4e68-8ff2-f152d9bad402
